"Barcode"	"WellRow"	"WellColumn"	"ReadoutValue"	"BackgroundValue"
"plate_1"	"C"	3	100	0
"plate_1"	"D"	4	100	0
"plate_1"	"E"	5	100	0
"plate_1"	"F"	6	45.3280649026506	0
"plate_1"	"G"	7	61.1665276427323	0
"plate_1"	"H"	8	84.3921210464125	0
"plate_1"	"I"	9	98.5067852427482	0
"plate_1"	"J"	10	99.6530574056693	0
"plate_1"	"K"	11	99.9817037469059	0
"plate_1"	"L"	12	99.991402241568	0
"plate_1"	"C"	13	99.9993547964844	0
"plate_1"	"D"	14	99.9999496971326	0
"plate_1"	"E"	15	100	0
"plate_1"	"F"	16	99.9999963673741	0
"plate_1"	"G"	17	44.1335197860242	0
"plate_1"	"H"	18	46.3158980873148	0
"plate_1"	"I"	19	94.0493436974407	0
"plate_1"	"J"	20	99.8855968065889	0
"plate_1"	"K"	21	99.9990405080028	0
"plate_1"	"L"	22	99.9999515871561	0
"plate_1"	"C"	23	99.6	0
"plate_1"	"D"	24	99.6	0
"plate_1"	"E"	25	99.6	0
"plate_1"	"F"	26	45.1467526430399	0
"plate_1"	"G"	27	60.9218615321614	0
"plate_1"	"H"	28	84.0545525622268	0
"plate_1"	"I"	29	98.1127581017772	0
"plate_1"	"J"	30	99.2544451760467	0
"plate_1"	"K"	31	99.5817769319183	0
"plate_1"	"L"	32	99.5914366326017	0
"plate_1"	"C"	33	99.5993573772984	0
"plate_1"	"D"	34	99.599949898344	0
"plate_1"	"E"	35	99.6	0
"plate_1"	"F"	36	99.5999963819046	0
"plate_1"	"G"	37	43.9569857068801	0
"plate_1"	"H"	38	46.1306344949655	0
"plate_1"	"I"	39	93.673146322651	0
"plate_1"	"J"	40	99.4860544193625	0
"plate_1"	"K"	41	99.5990443459708	0
"plate_1"	"L"	42	99.5999517808075	0
"plate_1"	"C"	43	100	0
"plate_1"	"D"	44	100	0
"plate_1"	"E"	45	100	0
"plate_1"	"F"	46	45.3280649026506	0
"plate_1"	"G"	47	61.1665276427323	0
"plate_1"	"H"	48	84.3921210464125	0
"plate_1"	"I"	49	98.5067852427482	0
"plate_1"	"J"	50	99.6530574056693	0
"plate_1"	"K"	51	99.9817037469059	0
"plate_1"	"L"	52	99.991402241568	0
"plate_1"	"C"	53	99.9993547964844	0
"plate_1"	"D"	54	99.9999496971326	0
"plate_1"	"E"	55	100	0
"plate_1"	"F"	56	99.9999963673741	0
"plate_1"	"G"	57	44.1335197860242	0
"plate_1"	"H"	58	46.3158980873148	0
"plate_1"	"I"	59	94.0493436974407	0
"plate_1"	"J"	60	99.8855968065889	0
"plate_1"	"K"	61	99.9990405080028	0
"plate_1"	"L"	62	99.9999515871561	0
"plate_1"	"C"	63	99.7	0
"plate_1"	"D"	64	99.7	0
"plate_1"	"E"	65	99.7	0
"plate_1"	"F"	66	45.1920807079426	0
"plate_1"	"G"	67	60.9830280598041	0
"plate_1"	"H"	68	84.1389446832733	0
"plate_1"	"I"	69	98.2112648870199	0
"plate_1"	"J"	70	99.3540982334523	0
"plate_1"	"K"	71	99.6817586356652	0
"plate_1"	"L"	72	99.6914280348433	0
"plate_1"	"C"	73	99.6993567320949	0
"plate_1"	"D"	74	99.6999498480412	0
"plate_1"	"E"	75	99.7	0
"plate_1"	"F"	76	99.699996378272	0
"plate_1"	"G"	77	44.0011192266661	0
"plate_1"	"H"	78	46.1769503930528	0
"plate_1"	"I"	79	93.7671956663484	0
"plate_1"	"J"	80	99.5859400161691	0
"plate_1"	"K"	81	99.6990433864788	0
"plate_1"	"L"	82	99.6999517323947	0
"plate_1"	"C"	83	100	0
"plate_1"	"D"	84	100	0
"plate_1"	"E"	85	100	0
"plate_1"	"F"	86	45.3280649026506	0
"plate_1"	"G"	87	61.1665276427323	0
"plate_1"	"H"	88	84.3921210464125	0
"plate_1"	"I"	89	98.5067852427482	0
"plate_1"	"J"	90	99.6530574056693	0
"plate_1"	"K"	91	99.9817037469059	0
"plate_1"	"L"	92	99.991402241568	0
"plate_1"	"C"	93	99.9993547964844	0
"plate_1"	"D"	94	99.9999496971326	0
"plate_1"	"E"	95	100	0
"plate_1"	"F"	96	99.9999963673741	0
"plate_1"	"G"	97	44.1335197860242	0
"plate_1"	"H"	98	46.3158980873148	0
"plate_1"	"I"	99	94.0493436974407	0
"plate_1"	"J"	100	99.8855968065889	0
"plate_1"	"K"	101	99.9990405080028	0
"plate_1"	"L"	102	99.9999515871561	0
"plate_1"	"C"	3	100	0
"plate_1"	"D"	4	100	0
"plate_1"	"E"	5	100	0
"plate_1"	"F"	6	45.3280649026506	0
"plate_1"	"G"	7	61.1665276427323	0
"plate_1"	"H"	8	84.3921210464125	0
"plate_1"	"I"	9	98.5067852427482	0
"plate_1"	"J"	10	99.6530574056693	0
"plate_1"	"K"	11	99.9817037469059	0
"plate_1"	"L"	12	99.991402241568	0
"plate_1"	"C"	13	99.9993547964844	0
"plate_1"	"D"	14	99.9999496971326	0
"plate_1"	"E"	15	100	0
"plate_1"	"F"	16	99.9999963673741	0
"plate_1"	"G"	17	44.1335197860242	0
"plate_1"	"H"	18	46.3158980873148	0
"plate_1"	"I"	19	94.0493436974407	0
"plate_1"	"J"	20	99.8855968065889	0
"plate_1"	"K"	21	99.9990405080028	0
"plate_1"	"L"	22	99.9999515871561	0
"plate_1"	"C"	23	26	0
"plate_1"	"D"	24	26	0
"plate_1"	"E"	25	26	0
"plate_1"	"F"	26	11.7852968746891	0
"plate_1"	"G"	27	15.9032971871104	0
"plate_1"	"H"	28	21.9419514720672	0
"plate_1"	"I"	29	25.6117641631145	0
"plate_1"	"J"	30	25.909794925474	0
"plate_1"	"K"	31	25.9952429741955	0
"plate_1"	"L"	32	25.9977645828077	0
"plate_1"	"C"	33	25.9998322470859	0
"plate_1"	"D"	34	25.9999869212545	0
"plate_1"	"E"	35	26	0
"plate_1"	"F"	36	25.9999990555173	0
"plate_1"	"G"	37	11.4747151443663	0
"plate_1"	"H"	38	12.0421335027018	0
"plate_1"	"I"	39	24.4528293613346	0
"plate_1"	"J"	40	25.9702551697131	0
"plate_1"	"K"	41	25.9997505320807	0
"plate_1"	"L"	42	25.9999874126606	0
"plate_1"	"C"	43	100	0
"plate_1"	"D"	44	100	0
"plate_1"	"E"	45	100	0
"plate_1"	"F"	46	45.3280649026506	0
"plate_1"	"G"	47	61.1665276427323	0
"plate_1"	"H"	48	84.3921210464125	0
"plate_1"	"I"	49	98.5067852427482	0
"plate_1"	"J"	50	99.6530574056693	0
"plate_1"	"K"	51	99.9817037469059	0
"plate_1"	"L"	52	99.991402241568	0
"plate_1"	"C"	53	99.9993547964844	0
"plate_1"	"D"	54	99.9999496971326	0
"plate_1"	"E"	55	100	0
"plate_1"	"F"	56	99.9999963673741	0
"plate_1"	"G"	57	44.1335197860242	0
"plate_1"	"H"	58	46.3158980873148	0
"plate_1"	"I"	59	94.0493436974407	0
"plate_1"	"J"	60	99.8855968065889	0
"plate_1"	"K"	61	99.9990405080028	0
"plate_1"	"L"	62	99.9999515871561	0
"plate_1"	"C"	63	30.7	0
"plate_1"	"D"	64	30.7	0
"plate_1"	"E"	65	30.7	0
"plate_1"	"F"	66	13.9157159251137	0
"plate_1"	"G"	67	18.7781239863188	0
"plate_1"	"H"	68	25.9083811612486	0
"plate_1"	"I"	69	30.2415830695237	0
"plate_1"	"J"	70	30.5934886235405	0
"plate_1"	"K"	71	30.6943830503001	0
"plate_1"	"L"	72	30.6973604881614	0
"plate_1"	"C"	73	30.6998019225207	0
"plate_1"	"D"	74	30.6999845570197	0
"plate_1"	"E"	75	30.7	0
"plate_1"	"F"	76	30.6999988847839	0
"plate_1"	"G"	77	13.5489905743094	0
"plate_1"	"H"	78	14.2189807128056	0
"plate_1"	"I"	79	28.8731485151143	0
"plate_1"	"J"	80	30.6648782196228	0
"plate_1"	"K"	81	30.6997054359569	0
"plate_1"	"L"	82	30.6999851372569	0
"plate_1"	"C"	83	100	0
"plate_1"	"D"	84	100	0
"plate_1"	"E"	85	100	0
"plate_1"	"F"	86	45.3280649026506	0
"plate_1"	"G"	87	61.1665276427323	0
"plate_1"	"H"	88	84.3921210464125	0
"plate_1"	"I"	89	98.5067852427482	0
"plate_1"	"J"	90	99.6530574056693	0
"plate_1"	"K"	91	99.9817037469059	0
"plate_1"	"L"	92	99.991402241568	0
"plate_1"	"C"	93	99.9993547964844	0
"plate_1"	"D"	94	99.9999496971326	0
"plate_1"	"E"	95	100	0
"plate_1"	"F"	96	99.9999963673741	0
"plate_1"	"G"	97	44.1335197860242	0
"plate_1"	"H"	98	46.3158980873148	0
"plate_1"	"I"	99	94.0493436974407	0
"plate_1"	"J"	100	99.8855968065889	0
"plate_1"	"K"	101	99.9990405080028	0
"plate_1"	"L"	102	99.9999515871561	0
"plate_1"	"C"	3	44.3	0
"plate_1"	"D"	4	44.3	0
"plate_1"	"E"	5	44.3	0
"plate_1"	"F"	6	20.0803327518742	0
"plate_1"	"G"	7	27.0967717457304	0
"plate_1"	"H"	8	37.3857096235607	0
"plate_1"	"I"	9	43.6385058625374	0
"plate_1"	"J"	10	44.1463044307115	0
"plate_1"	"K"	11	44.2918947598793	0
"plate_1"	"L"	12	44.2961911930146	0
"plate_1"	"C"	13	44.2997141748426	0
"plate_1"	"D"	14	44.2999777158297	0
"plate_1"	"E"	15	44.3	0
"plate_1"	"F"	16	44.2999983907467	0
"plate_1"	"G"	17	19.5511492652087	0
"plate_1"	"H"	18	20.5179428526804	0
"plate_1"	"I"	19	41.6638592579662	0
"plate_1"	"J"	20	44.2493193853189	0
"plate_1"	"K"	21	44.2995749450453	0
"plate_1"	"L"	22	44.2999785531102	0
"plate_1"	"C"	23	26	0
"plate_1"	"D"	24	26	0
"plate_1"	"E"	25	26	0
"plate_1"	"F"	26	11.7852968746891	0
"plate_1"	"G"	27	15.9032971871104	0
"plate_1"	"H"	28	21.9419514720672	0
"plate_1"	"I"	29	25.6117641631145	0
"plate_1"	"J"	30	25.909794925474	0
"plate_1"	"K"	31	25.9952429741955	0
"plate_1"	"L"	32	25.9977645828077	0
"plate_1"	"C"	33	25.9998322470859	0
"plate_1"	"D"	34	25.9999869212545	0
